uid,title,company,domain,p_rnd,topic_id,topic_prob
"in-fea8f22bebd1ba41|senior principal scientist, upstream process development","Senior Principal Scientist, Upstream Process Development",Bristol Myers Squibb,bio,0.9733122587203981,10,0.19057545614670662
in-b804241fa5df986a|temporary research assistant,Temporary Research Assistant,Rutgers University,bio,0.812194645404815,8,1.0
"in-ca94ee7f1d8f7cff|laboratory technician, virology","Laboratory Technician, Virology",Cherokee Federal,bio,0.997723758220672,-1,0.0036356276757026637
li-4289048847|medical technologist i full time,Medical Technologist I Full Time,Holy Cross Health,bio,0.9814454913139341,0,0.12134917083665181
in-35360d14c48b6e06|microbiologist ii,Microbiologist II,Sofie,bio,0.7674543062845861,29,1.0
in-a18909ca2a585f25|research & development co-op (jan-jun) 2026,Research & Development Co-op (Jan-Jun) 2026,Kenvue,bio,0.916853646437327,-1,0.02403084360153783
li-4280415882|research technologist - 118645,Research Technologist - 118645,The Johns Hopkins University,bio,0.9806351860364271,2,1.0
in-0deafbdf86673bab|medical laboratory scientist - core laboratory - day,Medical Laboratory Scientist - Core Laboratory - Day,WellSpan Health,bio,0.905348221460978,0,0.5643939743493611
li-4288827889|senior bioprocess specialist,Senior Bioprocess Specialist,CAMRIS,bio,0.8502183953921,14,0.3911387938300319
"in-c4471c3b79bb50ba|scientist, cell therapy gaithersburg, maryland","Scientist, Cell Therapy Gaithersburg, Maryland",AstraZeneca,bio,0.9582820534706111,5,0.031532868606186315
in-6336a59ca6195b9d|post doctoral associate,Post Doctoral Associate,University of Pittsburgh,bio,0.6780309776465091,16,0.20618462138928428
in-7cbbfd16b8c8c665|winter-spring 2026 co-op - quantitative pharmacology,Winter-Spring 2026 Co-Op - Quantitative Pharmacology,Sanofi,bio,0.7432506680488581,-1,0.09737485843911024
in-1457aee1781bfcd5|post-doc nakamura lab,Post-Doc Nakamura Lab,Rutgers University,bio,0.802243113517761,13,0.2826506618131259
in-928ad9657c540896|senior clinical program leader,Senior Clinical Program Leader,Novartis,bio,0.8258139093716941,-1,0.08524586542881232
in-0247cbb2ad5bbbca|supv quality control,Supv Quality Control,Johnson & Johnson,bio,0.780904710292816,6,0.10618645086237048
in-eae67bf8b2c97703|scientist ii,Scientist II,Eurofins,bio,0.9324129621187841,1,0.90680063023786
li-4306867818|summer 2026 - undergraduate leads discovery and optimization internship,Summer 2026 - Undergraduate Leads Discovery and Optimization Internship,Bristol Myers Squibb,bio,0.871051788330078,10,0.2114255563417105
in-b0790b81341c48f3|laboratory technologist,LABORATORY TECHNOLOGIST,Independence Health,bio,0.9185724655787151,0,1.0
in-846e1133d4eae52f|director - manufacturing,Director - Manufacturing,Children's Hospital of Philadelphia,bio,0.7046622236569721,35,0.0749340427638719
"in-66a844ca5e782af2|expert, product sciences – cell therapy analytical development","Expert, Product Sciences – Cell Therapy Analytical Development",Novartis,bio,0.9700549840927121,-1,0.021907179402561924
in-33320b2445aa0f3b|scientist i- med device microbiology,Scientist I- Med Device Microbiology,Eurofins,bio,0.9710244139035541,1,1.0
"li-4296660898|senior associate scientist, imaging","Senior Associate Scientist, Imaging",Bristol Myers Squibb,bio,0.8188976049423211,10,0.8781592536242294
in-b56c8bd24ace73a3|automation engineer,Automation Engineer,GSK,bio,0.624542703231175,14,0.1474983064557249
li-4279705602|scientist,Scientist,CHEManager International,bio,0.9886552294095351,19,1.0
in-524b1ca3c33b3434|research specialist i/ii,Research Specialist I/II,Princeton University,bio,0.967598716417948,-1,0.003954877914535871
li-4289011350|research scientist (prep0003734),Research Scientist (PREP0003734),The Johns Hopkins University,bio,0.9842576583226521,4,1.0
"in-3fe07440b4e72819|associate scientist i, cell biology & immunology","Associate Scientist I, Cell Biology & Immunology",Tonix Pharmaceuticals,bio,0.9969107906023661,-1,0.02499042010166652
"in-0c0f275e5f5abb8c|director of translational science, hepatology","Director of Translational Science, Hepatology",GSK,bio,0.8760040601094561,5,1.0
in-fc4cd7704127df76|post-doctoral fellows - sarma lab,Post-Doctoral Fellows - Sarma Lab,The Wistar Institute,bio,0.9693984587987261,55,0.24768187502865385
in-5143e7616c85c955|scientist iii,Scientist III,HNTB Corporation,bio,0.72679450114568,20,1.0
in-1c3ad18e2d3e2607|microbiologist - i-onsite (maryland),Microbiologist - I-ONSITE (Maryland),Cognizance Technologies,bio,0.913494030634562,29,1.0
in-04b9211f7db94fda|molecular biology lead technical support,Molecular Biology Lead Technical Support,Alaka`ina Foundation Family of Companies,bio,0.9759269952774041,39,0.6175322376403296
in-8b8b40d30bf01bdf|vector pipeline external manufacturing expert,Vector Pipeline External Manufacturing Expert,Legend Biotech,bio,0.8478525479634601,17,0.14748263731528646
in-18872d047e342242|postdoctoral position in the cancer epigenetics group,POSTDOCTORAL POSITION IN THE CANCER EPIGENETICS GROUP,"University of Maryland, Baltimore",bio,0.986870825290679,24,0.3390851368429075
in-95dbab449affd888|medical laboratory scientist i,Medical Laboratory Scientist I,Quest Diagnostics,bio,0.9743182659149171,41,1.0
in-f1fa6ed1bdb9198b|lean specialist - bilingual required,Lean Specialist - Bilingual Required,GenScript ProBio,bio,0.7775053878625231,7,0.7083418346008014
li-4274785781|scientist,Scientist,BioSpace,bio,0.993195672829945,-1,0.007022616593072682
in-714bdd5b130e0251|histo prep tech,Histo Prep Tech,Johns Hopkins Health System,bio,0.537063101927439,33,1.0
li-4300948460|laboratory technician,Laboratory Technician,Nanion Technologies,bio,0.9827861189842221,-1,0.10624445743030782
"in-5ee71e277e9260f8|manager, lab operations - mpx (cumberland, md)","Manager, Lab Operations - MPX (Cumberland, MD)",iAnthus Capital,bio,0.6257012188434601,-1,0.02753093531668345
in-7872c253ab9daca6|medical laboratory scientist i- microbiology,Medical Laboratory Scientist I- Microbiology,Quest Diagnostics,bio,0.985708653926849,12,0.15700565448990822
"li-4270329199|analytical toxicologist, quality assurance officer","Analytical Toxicologist, Quality Assurance Officer",The Henry M. Jackson Foundation for the Advancement of Military Medicine,bio,0.773991306622823,37,0.18710766680131957
